order_id,order_date,customer_id,product_id,region,sales,quantity,discount,profit
O00001,2023-02-12,C0192,P0029,North,3236.52,1,0.03,450.2
O00002,2023-06-29,C0071,P0018,East,4192.18,1,0.2,660.56
O00003,2023-01-20,C0128,P0022,West,713.73,1,0.1,143.9
O00004,2022-12-05,C0008,P0012,West,2235.02,1,0.09,-119.51
O00005,2022-07-16,C0005,P0039,South,1722.67,2,0.03,265.31
O00006,2023-09-21,C0097,P0024,East,1043.0,4,0.1,620.55
O00007,2023-08-16,C0161,P0028,West,3884.1,1,0.01,553.85
O00008,2023-05-05,C0125,P0026,East,676.49,4,0.16,18.96
O00009,2022-02-20,C0038,P0007,West,3906.29,4,0.05,217.11
O00010,2022-07-21,C0165,P0013,East,4752.72,5,0.08,616.04
O00011,2022-07-23,C0133,P0008,East,3621.52,3,0.29,21.68
O00012,2022-04-04,C0143,P0028,South,910.77,2,0.28,398.91
O00013,2023-09-06,C0098,P0018,North,3574.83,2,0.27,8.06
O00014,2023-02-17,C0030,P0038,North,1779.96,4,0.29,386.3
O00015,2022-04-13,C0195,P0001,South,4584.81,3,0.17,104.64
O00016,2022-05-21,C0154,P0025,North,1552.91,3,0.08,442.04
O00017,2022-12-03,C0083,P0028,South,2586.17,1,0.12,366.15
O00018,2023-06-24,C0005,P0025,North,3905.57,2,0.27,-15.46
O00019,2022-03-25,C0086,P0045,South,2006.14,3,0.1,354.53
O00020,2023-08-18,C0021,P0041,West,1450.41,4,0.28,521.8
O00021,2022-06-04,C0137,P0033,West,3628.1,2,0.24,-22.92
O00022,2022-12-09,C0060,P0025,West,1992.7,1,0.0,158.67
O00023,2022-11-26,C0169,P0047,East,4410.22,1,0.02,136.03
O00024,2022-03-24,C0046,P0023,West,839.79,2,0.14,786.61
O00025,2022-08-21,C0037,P0040,East,2529.19,3,0.17,620.94
O00026,2023-01-10,C0045,P0035,North,4487.44,5,0.06,601.16
O00027,2023-01-15,C0175,P0012,West,1124.86,2,0.02,167.19
O00028,2022-11-14,C0106,P0038,South,2537.89,3,0.15,748.86
O00029,2022-11-25,C0025,P0026,South,2101.71,5,0.13,476.62
O00030,2022-02-10,C0096,P0002,East,3944.96,5,0.25,352.25
O00031,2022-12-03,C0019,P0023,North,4166.69,1,0.18,6.64
O00032,2023-07-07,C0118,P0036,West,3467.2,2,0.05,-47.18
O00033,2022-02-28,C0151,P0015,East,2854.89,4,0.04,419.77
O00034,2022-08-02,C0140,P0017,North,3949.76,1,0.3,-134.22
O00035,2023-04-30,C0112,P0036,North,1954.85,5,0.05,639.05
O00036,2022-08-31,C0129,P0016,South,2546.78,2,0.19,482.73
O00037,2023-11-15,C0194,P0046,South,2731.34,5,0.23,569.0
O00038,2022-01-28,C0101,P0023,East,1012.54,5,0.06,443.74
O00039,2022-04-01,C0117,P0033,East,4579.67,3,0.27,7.71
O00040,2023-04-17,C0127,P0027,East,1784.34,5,0.05,166.76
O00041,2023-10-07,C0111,P0013,South,870.6,4,0.09,289.16
O00042,2023-01-03,C0197,P0036,East,2307.1,2,0.17,178.63
O00043,2023-02-02,C0053,P0026,West,684.38,3,0.06,744.71
O00044,2023-09-25,C0158,P0026,East,858.75,2,0.2,167.93
O00045,2022-08-23,C0163,P0046,East,2805.43,4,0.27,541.79
O00046,2022-07-17,C0189,P0012,North,2131.29,1,0.12,-0.41
O00047,2023-07-12,C0069,P0009,South,3704.08,4,0.24,637.51
O00048,2022-04-24,C0153,P0044,South,1844.82,3,0.02,350.4
O00049,2023-03-22,C0057,P0027,West,656.41,1,0.09,242.61
O00050,2023-04-13,C0007,P0003,West,2392.46,3,0.23,-141.88
O00051,2022-11-30,C0047,P0023,East,2933.4,1,0.05,743.33
O00052,2023-05-19,C0026,P0019,West,761.94,2,0.16,174.17
O00053,2023-05-22,C0107,P0010,South,2221.49,5,0.26,507.36
O00054,2022-12-31,C0049,P0018,West,1604.2,2,0.29,785.6
O00055,2022-01-15,C0142,P0030,North,1754.09,1,0.2,-73.99
O00056,2022-03-14,C0156,P0028,South,2115.15,5,0.07,188.82
O00057,2023-07-21,C0182,P0034,North,1131.57,2,0.13,735.93
O00058,2023-09-29,C0092,P0036,East,4951.46,5,0.16,35.42
O00059,2022-12-22,C0025,P0006,East,3391.92,4,0.18,630.67
O00060,2022-02-07,C0116,P0025,South,2230.17,5,0.15,227.87
O00061,2023-08-11,C0016,P0029,South,4701.7,3,0.07,-39.31
O00062,2022-12-21,C0175,P0050,North,4878.62,5,0.3,504.31
O00063,2023-05-22,C0183,P0023,West,1645.94,2,0.01,73.28
O00064,2023-06-13,C0050,P0003,North,1254.01,4,0.02,229.98
O00065,2022-07-20,C0125,P0019,North,2339.86,2,0.15,126.56
O00066,2022-02-13,C0114,P0032,North,2309.22,5,0.29,-129.33
O00067,2023-11-09,C0023,P0043,West,1770.08,5,0.23,566.71
O00068,2022-06-22,C0029,P0010,North,2587.55,2,0.23,23.37
O00069,2022-04-22,C0010,P0044,South,526.57,5,0.13,-83.9
O00070,2022-02-25,C0044,P0026,West,1587.44,3,0.15,-94.49
O00071,2022-04-28,C0119,P0030,West,1122.29,3,0.08,690.96
O00072,2023-01-03,C0073,P0012,West,1353.32,4,0.16,737.78
O00073,2022-06-27,C0120,P0038,West,2429.99,4,0.22,609.25
O00074,2023-07-20,C0102,P0047,West,4157.65,4,0.04,252.98
O00075,2022-03-06,C0048,P0008,East,4991.62,3,0.26,633.45
O00076,2022-03-02,C0154,P0038,East,1027.14,5,0.16,218.83
O00077,2022-11-25,C0123,P0017,East,3681.53,3,0.15,-111.05
O00078,2022-10-02,C0022,P0002,West,1351.54,3,0.15,-187.08
O00079,2022-07-08,C0168,P0001,East,3436.26,3,0.29,743.01
O00080,2022-09-07,C0156,P0003,East,4976.01,4,0.21,563.7
O00081,2022-05-16,C0188,P0028,East,4816.7,5,0.21,340.14
O00082,2022-11-15,C0078,P0027,South,1199.73,2,0.29,115.93
O00083,2023-11-02,C0128,P0002,South,1979.41,4,0.22,286.01
O00084,2023-08-27,C0153,P0014,West,770.33,2,0.12,110.06
O00085,2022-09-24,C0170,P0044,West,607.75,5,0.08,-156.9
O00086,2023-11-29,C0182,P0035,North,1276.44,3,0.06,-134.67
O00087,2022-04-30,C0105,P0050,South,3020.96,1,0.27,721.04
O00088,2022-12-31,C0047,P0041,East,4673.05,5,0.19,331.09
O00089,2023-03-06,C0042,P0007,North,796.8,2,0.12,764.2
O00090,2022-04-21,C0141,P0026,West,2617.92,5,0.05,5.14
O00091,2022-01-10,C0070,P0034,West,2475.6,5,0.28,268.87
O00092,2023-06-03,C0123,P0039,South,4007.68,4,0.27,514.89
O00093,2022-11-16,C0050,P0018,South,2082.01,2,0.1,721.89
O00094,2023-07-06,C0160,P0003,East,1975.54,4,0.23,498.88
O00095,2023-10-26,C0061,P0032,East,1740.1,5,0.17,352.23
O00096,2022-06-20,C0061,P0047,East,4046.22,1,0.05,539.4
O00097,2022-08-06,C0033,P0015,South,4014.14,4,0.08,713.33
O00098,2023-08-29,C0159,P0034,West,4941.62,5,0.28,630.58
O00099,2022-09-14,C0111,P0047,West,1006.28,2,0.17,-107.72
O00100,2022-03-18,C0016,P0041,West,4680.42,3,0.18,762.59
O00101,2022-09-01,C0098,P0044,South,3108.52,3,0.23,-147.88
O00102,2022-01-24,C0007,P0039,South,3895.94,2,0.15,740.3
O00103,2022-12-07,C0192,P0048,South,3468.87,1,0.12,706.16
O00104,2023-02-24,C0086,P0009,North,2234.36,1,0.28,-122.66
O00105,2023-03-04,C0199,P0044,West,1811.35,3,0.08,711.29
O00106,2022-01-19,C0109,P0049,South,3660.32,2,0.25,469.49
O00107,2022-01-18,C0027,P0013,West,3177.44,3,0.18,-187.65
O00108,2023-08-08,C0124,P0048,South,1577.93,1,0.01,213.14
O00109,2022-01-20,C0062,P0048,West,2617.43,5,0.28,742.85
O00110,2023-10-25,C0189,P0009,North,2909.79,5,0.16,11.92
O00111,2022-02-27,C0116,P0030,West,2790.78,3,0.13,367.54
O00112,2022-12-13,C0144,P0033,South,1211.74,3,0.2,323.51
O00113,2022-10-17,C0125,P0029,North,2975.7,4,0.25,250.92
O00114,2023-04-15,C0131,P0013,East,3615.41,1,0.22,228.4
O00115,2023-10-12,C0177,P0038,South,2384.67,4,0.06,173.56
O00116,2022-11-18,C0162,P0012,East,4520.03,1,0.03,373.09
O00117,2022-04-15,C0098,P0005,East,2128.16,3,0.1,117.6
O00118,2022-07-18,C0076,P0016,East,1730.25,1,0.17,485.88
O00119,2023-03-16,C0174,P0001,South,4969.93,5,0.08,93.14
O00120,2022-02-24,C0112,P0003,North,927.15,4,0.09,477.86
O00121,2023-07-30,C0184,P0019,North,2188.49,3,0.19,732.82
